id,url,url_length,has_https,num_dots,num_special_chars,entropy,label
1,https://www.google.com/products,31,1,2,6,3.913,benign
2,https://www.amazon.in/about,27,1,2,6,3.828,benign
3,https://www.openai.com/profile,30,1,2,6,4.006,benign
4,https://www.bbc.com/news,24,1,2,6,3.637,benign
5,https://www.google.com/home,27,1,2,6,3.662,benign
6,https://www.amazon.in/profile,29,1,2,6,4.047,benign
7,https://www.bbc.com/about,25,1,2,6,3.643,benign
8,http://hv3a3zmf8m.com/login/login.php,37,0,2,7,4.101,malicious
9,http://d4v30t9nt3.com/free/login.php,36,0,2,7,4.26,malicious
10,http://uzbikcidkw.com/secure/login.php,38,0,2,7,4.294,malicious
11,https://www.microsoft.com/products,34,1,2,6,3.822,benign
12,https://www.openai.com/products,31,1,2,6,3.994,benign
13,https://www.bbc.com/about,25,1,2,6,3.643,benign
14,https://www.amazon.in/news,26,1,2,6,3.719,benign
15,http://j7yhl1c32o.com/login/login.php,37,0,2,7,4.067,malicious
16,https://www.bbc.com/products,28,1,2,6,3.771,benign
17,https://www.openai.com/news,27,1,2,6,3.764,benign
18,http://5xff0t0pvn.com/verify/login.php,38,0,2,7,4.208,malicious
19,http://dbdw2pcn9t.com/free/login.php,36,0,2,7,4.205,malicious
20,https://www.openai.com/home,27,1,2,6,3.782,benign
21,http://1mkfazz81s.com/login/login.php,37,0,2,7,4.196,malicious
22,http://4shnf877vr.com/login/login.php,37,0,2,7,4.155,malicious
23,http://53lc58drc1.com/win/login.php,35,0,2,7,4.172,malicious
24,https://www.amazon.in/news,26,1,2,6,3.719,benign
25,https://www.microsoft.com/profile,33,1,2,6,3.885,benign
26,http://871yzoyn6q.com/verify/login.php,38,0,2,7,4.399,malicious
27,https://www.google.com/products,31,1,2,6,3.913,benign
28,https://www.bbc.com/profile,27,1,2,6,3.958,benign
29,https://www.bbc.com/about,25,1,2,6,3.643,benign
30,https://www.google.com/home,27,1,2,6,3.662,benign
31,https://www.google.com/home,27,1,2,6,3.662,benign
32,http://ciyhe7ur23.com/verify/login.php,38,0,2,7,4.294,malicious
33,https://www.google.com/news,27,1,2,6,3.736,benign
34,http://pq0y9dom5i.com/verify/login.php,38,0,2,7,4.313,malicious
35,http://fgq5c34dxt.com/login/login.php,37,0,2,7,4.155,malicious
36,https://www.amazon.in/about,27,1,2,6,3.828,benign
37,http://rhocn9j2qp.com/bonus/login.php,37,0,2,7,4.142,malicious
38,http://fk8ut0cvs4.com/verify/login.php,38,0,2,7,4.419,malicious
39,https://www.bbc.com/home,24,1,2,6,3.605,benign
40,https://www.google.com/profile,30,1,2,6,3.923,benign
41,https://www.openai.com/about,28,1,2,6,3.914,benign
42,http://e6ivwpvs7h.com/bonus/login.php,37,0,2,7,4.196,malicious
43,http://ioykl1cq99.com/login/login.php,37,0,2,7,4.013,malicious
44,https://www.bbc.com/products,28,1,2,6,3.771,benign
45,https://www.microsoft.com/home,30,1,2,6,3.74,benign
46,https://www.microsoft.com/products,34,1,2,6,3.822,benign
47,https://www.wikipedia.org/profile,33,1,2,6,3.968,benign
48,http://w9xa3kx7ee.com/login/login.php,37,0,2,7,4.25,malicious
49,https://www.microsoft.com/products,34,1,2,6,3.822,benign
50,https://www.openai.com/products,31,1,2,6,3.994,benign
51,https://www.openai.com/products,31,1,2,6,3.994,benign
52,http://j6bw3bme9f.com/update/login.php,38,0,2,7,4.386,malicious
53,http://ue8yfbntpb.com/secure/login.php,38,0,2,7,4.208,malicious
54,https://www.microsoft.com/about,31,1,2,6,3.873,benign
55,https://www.openai.com/home,27,1,2,6,3.782,benign
